ts	symbol	status	total_s	verify_s	overhead_s	retries	notes
2026-05-25T15:11:03Z	sub_801299C	pass	280	56.35	223	0	-
2026-05-25T15:16:13Z	sub_80103EC	pass	177	56.62	120	0	-
2026-05-25T15:20:37Z	sub_800A704	pass	148	56.89	91	0	-
2026-05-25T15:23:38Z	sub_800A70C	pass	90	56.50	33	0	-
2026-05-25T15:26:49Z	sub_801E0C8	pass	101	56.59	44	0	-
2026-05-25T15:30:54Z	sub_801FE64	pass	107	56.44	50	0	-
2026-05-25T15:33:31Z	sub_801E658	pass	84	57.00	27	0	-
2026-05-25T15:40:53Z	sub_801E71C	pass	71	57.79	14	0	batch=4
2026-05-25T15:40:53Z	sub_802D1B4	pass	71	57.79	14	0	batch=4
2026-05-25T15:40:53Z	InitializeOWPlayerObjectStruct	pass	71	57.79	14	0	batch=4
2026-05-25T15:40:53Z	Is_eStruct2001010_Initialized	pass	71	57.79	14	0	batch=4
2026-05-25T15:46:56Z	InitializeOverworldNPCObjectStructs	pass	110	57.60	53	0	batch=2
2026-05-25T15:46:56Z	Is_eScenarioEffectState2000780_Initialized	pass	110	57.60	53	0	batch=2
2026-05-25T15:58:21Z	sub_81231E0-cluster	bail	525	58.57	468	1	vtable callee — mov lr,pc; bx rN can't tolerate bx lr
2026-05-25T23:41:07Z	sub_81421C8	pass	38	58.41	32	0	batch=9
2026-05-25T23:41:07Z	sub_81421D0	pass	38	58.41	32	0	batch=9
2026-05-25T23:41:07Z	sub_81421D8	pass	38	58.41	32	0	batch=9
2026-05-25T23:41:07Z	getField0x18OfScenarioEffectState2000780_81421e0	pass	38	58.41	32	0	batch=9
2026-05-25T23:41:07Z	sub_8142990	pass	38	58.41	32	0	batch=9
2026-05-25T23:41:07Z	sub_812EB78	pass	38	58.41	32	0	batch=9
2026-05-25T23:41:07Z	sub_8132664	pass	38	58.41	32	0	batch=9
2026-05-25T23:41:07Z	sub_803C2A0	pass	38	58.41	32	0	batch=9
2026-05-25T23:41:07Z	sub_803C558	pass	38	58.41	32	0	batch=9
2026-05-25T23:50:19Z	battle_networkInvert	pass	47	59.23	41	0	batch=9
2026-05-25T23:50:19Z	SetAIData_Unk_44_Flag	pass	47	59.23	41	0	batch=9
2026-05-25T23:50:19Z	ClearAIDataUnk0x48Flag	pass	47	59.23	41	0	batch=9
2026-05-25T23:50:19Z	object_clearFlag	pass	47	59.23	41	0	batch=9
2026-05-25T23:50:19Z	object_setFlag2	pass	47	59.23	41	0	batch=9
2026-05-25T23:50:19Z	sub_801BEB8	pass	47	59.23	41	0	batch=9
2026-05-25T23:50:19Z	sub_801BECC	pass	47	59.23	41	0	batch=9
2026-05-25T23:50:19Z	sub_801A4D0	pass	47	59.23	41	0	batch=9
2026-05-25T23:50:19Z	sub_801443C	pass	47	59.23	41	0	batch=9
2026-05-25T23:58:20Z	getBattleHandAddr_8010018	pass	43	58.98	35	0	batch=7
2026-05-25T23:58:20Z	GetBattleNaviStatsByte_AllianceFromBattleObject	pass	43	58.98	35	0	batch=7
2026-05-25T23:58:20Z	GetBattleNaviStatsHword_AllianceFromBattleObject	pass	43	58.98	35	0	batch=7
2026-05-25T23:58:20Z	SetBattleNaviStatsByte_AllianceFromBattleObject	pass	43	58.98	35	0	batch=7
2026-05-25T23:58:20Z	SetBattleNaviStatsHword_AllianceFromBattleObject	pass	43	58.98	35	0	batch=7
2026-05-25T23:58:20Z	GetNaviStats203CCE0Byte	pass	43	58.98	35	0	batch=7
2026-05-25T23:58:20Z	battleSettings_setFlags_unkSettings	pass	43	58.98	35	0	batch=7
2026-05-26T00:04:51Z	sub_8006DEC	pass	155	69.80	120	1	batch=5, 3 reverted (r5/r10 conflict?)
2026-05-26T00:04:51Z	sub_800AAE8	pass	155	69.80	120	1	batch=5, 3 reverted (r5/r10 conflict?)
2026-05-26T00:04:51Z	sub_8000E30	revert	155	69.80	120	1	verify failures - bisected to asm00_2 register-asm interactions
2026-05-26T00:04:51Z	sub_801A7F4	revert	155	69.80	120	1	verify failures - bisected to asm00_2 register-asm interactions
2026-05-26T00:04:51Z	sub_80101C4	revert	155	69.80	120	1	verify failures - bisected to asm00_2 register-asm interactions
2026-05-26T00:10:10Z	Initialize_eStruct200a6a0	pass	174	58.76	116	0	solo (13 instr)
2026-05-26T00:15:09Z	copy_800260C	pass	173	58.76	115	0	solo (22 instr, 68 bytes)
2026-05-26T00:19:37Z	subsystem_launchMail	pass	145	56.91	89	0	solo (20 instr, 44 bytes)
2026-05-26T00:25:17Z	transferBattleHandNaviStats_800B3D8	pass	246	55.44	191	0	solo (34 instr, 80 bytes)
